"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","55 - 59세",12523,13086,13202,13375,13760,14350,15223,16269,17554,18817,19823,20288,20726,21405,22543,23978,25036,26338,27864,29736,32022,34567,36986,39398,41673,43654,45416,47449,48667,49153,49631,50766,52681,55266,58525,61584,64216,67253,69615,72868,79029,86958,93023,99758,106211,111003,118476,120403,121686,118835,116516,110568,109721,109744,116861
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","60 - 64세",9074,9678,9990,10373,10631,11054,11797,12459,12967,13477,14086,14715,15463,16469,17672,18815,19377,19820,20363,21268,22728,24174,25913,27790,29844,32236,34838,36768,38520,40072,41206,43105,45062,46693,46972,48091,48428,49922,51928,54680,57820,60795,63780,66208,69352,75304,82259,87284,93163,98565,102981,110153,111966,113903,111614
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","65 - 69세",5685,6350,6348,6803,7472,8045,8589,9190,9776,10277,10854,11194,11522,11866,12361,12999,13584,14285,15162,16329,17466,18239,19067,20057,21312,22785,24043,25508,26952,28470,30312,32590,34415,36402,38089,39029,40432,42844,44523,45053,45923,45963,47048,48348,51202,54424,57445,59861,61751,64185,69902,76385,80927,86569,92030
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","70 - 74세",3772,4061,4189,4346,4433,4974,5282,5628,6124,6746,7284,7669,8089,8505,9001,9602,9818,10137,10483,10901,11692,12370,13279,14445,15681,16765,17364,17982,18666,19569,20531,21612,22991,24466,25772,27634,29878,31686,33233,35014,36084,37152,39795,41952,42832,43901,43302,43706,44614,47079,50104,52936,55307,57337,59919
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","75 - 79세",1736,1942,2027,2190,2379,2767,3040,3276,3413,3536,3777,3966,4327,4679,5123,5639,5882,6147,6462,6834,7865,8375,8808,9119,9463,10002,10627,11232,11950,12791,13535,14191,14872,15656,16664,17656,18326,19478,20810,22205,23885,26023,27717,29282,30928,32044,33232,35972,38122,38673,39531,38830,39193,40091,42624
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","80세이상",1169,1212,1268,1344,1426,1720,1826,1967,2134,2323,2506,2614,2778,2983,3279,3588,3861,4147,4460,4837,5801,6256,6742,7258,7808,8398,9345,9828,10188,10484,10871,11646,12516,13439,14457,15522,16596,17923,19246,20798,22309,23732,25304,27243,29437,31608,35021,37273,40319,43528,46376,49122,52551,55772,58474
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6963,7479,7984,8629,9363,10011,10586,11311,11913,12780,13578,14347,15302,16490,17645,19074,21188,22350,24046,25741,26757,27704,29980,31669,32252
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2898,3104,3396,3642,3846,4119,4423,4799,5365,5893,6388,6812,7159,7510,8304,8871,9764,10525,11436,12404,13689,15070,15826,16807,18089
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,836,885,943,954,1009,1119,1296,1505,1639,1755,1911,2071,2279,2638,2853,2964,3280,3531,3797,4301,4822,5130,5465,5881,6520
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,152,163,179,202,234,249,266,286,320,372,434,489,531,557,607,675,754,936,965,987,1064,1105,1221,1422
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,26,30,35,37,39,42,42,43,50,60,68,75,74,78,92,114,113,104,117,121,154,175,194,191
