"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","55 - 59세",112845,120122,123469,127439,133556,141886,150304,160420,172852,185055,194704,200071,205350,212121,221282,231070,241020,254867,273540,293975,310485,332492,352896,372860,391131,406331,417216,434336,446110,453278,463292,463036,469830,484325,505715,522892,534472,547245,563804,581354,619392,668092,696292,728173,761331,777856,798819,792210,794887,775286,752408,719176,708769,692659,712446
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","60 - 64세",80097,86327,90069,94507,97890,102877,110469,117390,122922,128516,135144,141100,148301,157267,166445,173210,177498,181753,188623,197484,206019,214711,225572,237146,249763,264656,284276,301175,318202,335293,351450,368063,385014,398802,406581,415469,419885,432853,448860,469129,485572,499191,507835,517593,534498,571912,610422,635357,662072,690807,706615,727493,722763,727214,711864
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",46610,52909,53850,58687,65529,71766,76735,82211,87589,92222,97552,101664,105835,109719,113972,118481,122606,128461,137060,147304,153157,155324,157667,161044,166151,172477,178930,188442,198710,210550,226249,244596,258908,273517,288542,302257,318349,339759,359506,368886,377060,377561,389669,402535,421742,440944,451101,455170,462000,475423,509622,545593,569622,598063,628021
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",28454,31224,32764,34572,35787,40753,43606,46859,51430,57166,62295,66337,70835,75061,79274,83605,85243,88284,92436,96583,101344,103741,107763,113437,119168,123286,124421,126766,130098,135479,142029,148863,156680,165409,174156,187404,202171,217182,230985,247069,259339,275438,299628,322483,332086,341867,336058,345905,354357,369548,386879,398349,404303,413958,428689
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",12736,14334,15077,16392,17927,20986,23264,25287,26603,27809,29949,32108,35758,39328,43368,47631,49609,52057,55405,58929,66435,69061,70949,71746,72714,75053,77304,79966,83683,88541,93140,96147,98859,101599,106239,112352,118194,125641,132887,141360,152003,166001,180237,194422,211182,225428,237329,258466,276697,282988,290507,288084,298165,309321,325204
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80세이상",7738,8231,8877,9675,10593,13296,14218,15412,16811,18399,19991,21021,22540,24313,26558,28661,30888,33425,36562,40031,47176,50046,53057,56193,59476,62924,68330,70838,72716,74469,77252,81929,86310,91798,97788,103887,109626,115716,122135,131180,139475,148141,158538,170567,183837,200596,214630,232567,248782,269537,289744,311635,339005,365974,387012
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49608,52000,54230,57901,61965,65657,67903,70825,73504,78710,83736,88940,95306,102401,109398,120260,130880,142237,152782,165640,176179,187183,204910,221134,228058
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20482,22254,24036,25421,26622,28056,30420,32461,35327,38230,40106,41831,44240,46752,51571,56332,58956,63429,67008,71856,79030,87395,94854,102723,112695
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5927,6247,6560,6888,7496,8292,9273,10229,10963,11611,12580,13940,15225,17430,18655,19448,19884,21352,22651,25246,27513,29622,31397,33576,36618
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1096,1265,1303,1392,1486,1623,1744,1887,2001,2259,2649,3016,3329,3535,3725,4008,4315,4891,5668,6012,6171,6472,6803,7352,8436
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139,163,181,196,219,259,286,314,340,370,404,414,438,449,488,548,595,658,673,783,851,963,1041,1189,1205
