"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","55 - 59세",19062,20359,20990,21735,22855,24362,25769,27458,29536,31567,33161,34101,34783,35595,37229,39362,41558,44379,47806,51776,56884,61180,65228,69244,72997,76218,79145,82870,85362,86088,86711,88654,92168,96229,101532,106338,109537,115444,121786,128586,141885,158869,172878,189623,207897,222616,241279,250241,259583,259053,256636,249796,249249,245604,255204
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","60 - 64세",13469,14605,15325,16178,16855,17812,19184,20449,21483,22539,23780,25209,26711,28464,30635,32747,33885,34972,36370,38319,41529,44156,47313,50708,54420,58742,63135,66527,69749,72205,73802,76503,79576,82036,82456,84112,85749,89559,93958,99469,105118,109672,114443,119860,127224,140794,157526,170616,186663,203800,217520,234910,244484,254742,255520
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","65 - 69세",8127,9227,9380,10221,11415,12499,13323,14233,15118,15866,16730,17782,18745,19615,20806,22300,23651,25350,27506,30187,33079,34290,35584,37159,39195,41595,43924,46831,49819,52672,56072,59556,62249,64853,67250,68753,70982,75421,79830,80724,82718,83526,87517,91445,97248,103919,108553,112554,117167,123697,136671,152211,164900,181225,198799
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","70 - 74세",5167,5643,5901,6207,6414,7294,7733,8231,8949,9854,10637,11451,12272,13010,13915,15017,15721,16682,17789,19014,21073,22391,24141,26371,28748,30865,31838,32975,34304,35836,37418,39228,41853,44261,46443,49738,53220,56585,59520,62453,64694,67106,72037,76847,78610,81002,80988,84579,87822,93116,99291,103302,107282,112191,118847
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","75 - 79세",2567,2861,2977,3205,3470,4021,4378,4674,4827,4954,5243,5606,6187,6718,7401,8205,8703,9289,10004,10804,12762,13867,14878,15714,16638,17943,19169,20462,22025,23713,25213,26196,26935,27813,29261,30861,32749,35292,37701,39702,42670,46313,49551,52866,56678,59183,61878,66710,71153,72884,74662,74401,77909,81326,86488
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","80세이상",1502,1626,1781,1973,2194,2786,2891,3043,3223,3428,3614,3786,4015,4270,4655,5061,5487,5962,6509,7147,8727,9517,10373,11294,12289,13366,15109,16205,17166,17949,18888,20430,22127,23879,25785,27639,29556,31590,34197,37160,39981,42905,46476,50173,54394,59313,64646,69586,74860,81303,87058,93243,100110,107127,112947
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12551,13454,14442,15665,17027,18229,18943,19760,21020,22553,24077,25746,27965,30143,32185,35052,38499,41367,44060,47567,49911,52428,56781,60794,62318
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4704,5257,5808,6250,6652,7059,7957,8769,9678,10774,11681,12362,13105,13846,15472,16904,18256,19667,21436,23082,25409,28069,29820,31741,34667
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1353,1442,1566,1619,1730,1929,2191,2533,2936,3219,3510,3982,4460,5112,5551,5942,6305,6772,7269,8446,9340,10129,10758,11643,12641
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244,239,263,291,323,365,406,463,489,529,620,717,834,949,1053,1262,1408,1589,1868,1952,2122,2263,2370,2539,2941
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","계","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,38,48,54,53,57,59,65,74,85,93,98,112,123,133,153,178,191,227,256,276,354,381,410,380
